customer_id,disb_date,tenure,account_num,loan_amount,loan_fee
00cd9ee00bb8879b2183d29c9d271cb059db8dd696cf82d1ac485b447712e4fc,14-May-24,14 days,5MJFO2VEDDN5BXGIALR7YQGF2UVWE79Q,830,99.6
bf45e689f0017d2c28d2d1c12f8351c108fecbdb3f29f339944dc9fc07a1a6a4,14-May-24,7 days,IB1VYHRJUS0MJWAS1Z6AT5P814V2B7LL,130,13
b2b61047f992cae10e82ec0fbf429903a9c1d5332d1c01c57d3cb015e603cce7,14-May-24,30 days,C6DBPD1DH0W1ZTAE9SOM3W2PKNLX7BMF,3500,525
df3442f9591957cc50813d48ec5d7c07f6a2c8b1afe9fc63225b006905ee252f,14-May-24,7 days,8ODBR4M1MZRGEZ8YP4R8DKKM153R32NA,2500,250
8310e20602e123dc9f3f30f8565786e07301697c541c631f5177ee3b3e9ac192,14-May-24,14 days,XMV4FXUUQ7U0QJ501J2XY9KGNVJ4I9QV,1600,192
b39e1cf44fad4619f1262142ea6025daec6d64d093c8ecb0e83c799efdd5e762,14-May-24,14 days,FGE7L5YE7SHY3BNL1J9I6D10NSMK12N9,830,99.6
c94cfb0b070586fa21daf714ec7c8a07eb745f51f36075a301accf7ef8ede112,14-May-24,30 days,7TUY8JXZD47B3RLOXXSF7JKKX64525OB,3500,525
7a8c288283c46a35ede77deb8f3ec0f647482cc1531fd3197ba6a65d4d970227,14-May-24,14 days,BEQV39LB4354JIA72IUUXHZ1X2AL75DU,100,12
4515f8b9aa4de6eff5cd32b27216f861da81fc197a5bcb064f5a1898e5c05590,14-May-24,7 days,Y4PR90VKMABREX6LUZXC9D6W43Y4O9BG,240,24
f3606d5ac9a89e0251a60d7183a09bc742eba2e36882af0ca0440f9e7b213b92,1-May-24,7 days,C74BMJW7CUZXES4E72XY06OEMTDW93N5,1800,180
b0d25d403e1d2f63f0d1ea649994e5e4f690e63afb831738ec236e81f5a57f2b,1-May-24,14 days,F1UT5BHRNV9IXMFEIJLU26Z5BCFYP6HX,1000,120
